
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2002-08-14,Wed,Champions Lg,Third qualifying round,Home,D 0–0,pt Sporting CP,it Inter,N,,33,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-09-19,Thu,UEFA Cup,First round,Home,L 1–3,pt Sporting CP,rs Partizan,N,,45,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-09-29,Sun,Primeira Liga,Matchweek 5,Away,L 2–4,Sporting CP,Braga,N,,22,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-10-03,Thu,UEFA Cup,First round,Away,D 3–3,pt Sporting CP,rs Partizan,Y,,73,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-10-07,Mon,Primeira Liga,Matchweek 6,Home,W 3–0,Sporting CP,Moreirense,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2002-10-20,Sun,Primeira Liga,Matchweek 7,Home,W 2–0,Sporting CP,Belenenses,Y,,75,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-10-26,Sat,Primeira Liga,Matchweek 8,Away,W 2–1,Sporting CP,Boavista,N,,9,1,,0,,,,0,0,,,,,,,0,,,Match Report
2002-11-02,Sat,Primeira Liga,Matchweek 9,Home,L 0–3,Sporting CP,Gil Vicente,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-11-08,Fri,Primeira Liga,Matchweek 10,Away,W 3–1,Sporting CP,Vit. Guimarães,Y,,88,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-11-15,Fri,Primeira Liga,Matchweek 11,Home,W 2–0,Sporting CP,Marítimo,Y,,73,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-11-30,Sat,Primeira Liga,Matchweek 12,Away,W 3–1,Sporting CP,Beira-Mar,N,,11,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-12-07,Sat,Primeira Liga,Matchweek 13,Home,L 0–2,Sporting CP,Benfica,Y,,53,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-12-14,Sat,Primeira Liga,Matchweek 14,Away,L 2–3,Sporting CP,União de Leiria,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2002-12-22,Sun,Primeira Liga,Matchweek 15,Home,W 2–0,Sporting CP,Nacional,N,,14,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-01-04,Sat,Primeira Liga,Matchweek 16,Away,W 2–1,Sporting CP,Vitória Setúbal,N,,21,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-01-11,Sat,Primeira Liga,Matchweek 17,Home,L 0–1,Sporting CP,Porto,N,,21,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-01-25,Sat,Primeira Liga,Matchweek 19,Away,W 1–0,Sporting CP,Santa Clara,Y,,44,0,,0,,,,1,0,,,,,,,0,,,Match Report
2003-02-05,Wed,Primeira Liga,Matchweek 18,Home,W 1–0,Sporting CP,Académica,N,,32,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-03-01,Sat,Primeira Liga,Matchweek 24,Away,D 1–1,Sporting CP,Belenenses,N,,6,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-03-16,Sun,Primeira Liga,Matchweek 25,Home,D 1–1,Sporting CP,Boavista,N,,30,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-03-21,Fri,Primeira Liga,Matchweek 26,Away,L 0–1,Sporting CP,Gil Vicente,N,,5,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-04-06,Sun,Primeira Liga,Matchweek 27,Home,D 1–1,Sporting CP,Vit. Guimarães,N,,24,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-04-19,Sat,Primeira Liga,Matchweek 28,Away,W 3–0,Sporting CP,Marítimo,N,,16,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-04-25,Fri,Primeira Liga,Matchweek 29,Home,D 1–1,Sporting CP,Beira-Mar,N,,11,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-05-12,Mon,Primeira Liga,Matchweek 31,Home,D 1–1,Sporting CP,União de Leiria,N,,27,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-05-17,Sat,Primeira Liga,Matchweek 32,Away,D 1–1,Sporting CP,Nacional,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-05-24,Sat,Primeira Liga,Matchweek 33,Home,L 3–4,Sporting CP,Vitória Setúbal,Y,,61,0,,0,,,,0,0,,,,,,,0,,,Match Report
2003-06-01,Sun,Primeira Liga,Matchweek 34,Away,L 0–2,Sporting CP,Porto,Y,,70,0,,0,,,,0,0,,,,,,,0,,,Match Report
