Date,Day,Comp▲,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2013-04-30,Tue,Champions Lg,Semi-finals,Home,W 2–0,es Real Madrid,de Dortmund,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2013-04-24,Wed,Champions Lg,Semi-finals,Away,L 1–4,es Real Madrid,de Dortmund,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-04-09,Tue,Champions Lg,Quarter-finals,Away,L 2–3,es Real Madrid,tr Galatasaray,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2013-04-03,Wed,Champions Lg,Quarter-finals,Home,W 3–0,es Real Madrid,tr Galatasaray,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-03-05,Tue,Champions Lg,Round of 16,Away,W 2–1,es Real Madrid,eng Manchester Utd,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-02-13,Wed,Champions Lg,Round of 16,Home,D 1–1,es Real Madrid,eng Manchester Utd,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-12-04,Tue,Champions Lg,Group stage,Home,W 4–1,es Real Madrid,nl Ajax,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Match Report
2012-11-21,Wed,Champions Lg,Group stage,Away,D 1–1,es Real Madrid,eng Manchester City,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-11-06,Tue,Champions Lg,Group stage,Home,D 2–2,es Real Madrid,de Dortmund,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Match Report
2012-10-24,Wed,Champions Lg,Group stage,Away,L 1–2,es Real Madrid,de Dortmund,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2012-10-03,Wed,Champions Lg,Group stage,Away,W 4–1,es Real Madrid,nl Ajax,Y,,90,3,,0,,,,0,0,,,,,,,0,,,Match Report
2012-09-18,Tue,Champions Lg,Group stage,Home,W 3–2,es Real Madrid,eng Manchester City,Y,,90,1,,0,,,,0,0,,,,,,,0,,,Match Report
2013-05-11,Sat,La Liga,Matchweek 35,Away,D 1–1,Real Madrid,Espanyol,N,,35,0,,0,,,,1,0,,,,,,,0,,,Match Report
2013-05-08,Wed,La Liga,Matchweek 36,Home,W 6–2,Real Madrid,Málaga,Y,,90,1,,0,,,,1,0,,,,,,,0,,,Match Report
2013-05-04,Sat,La Liga,Matchweek 34,Home,W 4–3,Real Madrid,Valladolid,Y,,90,2,,0,,,,0,0,,,,,,,0,,,Match Report
2013-04-20,Sat,La Liga,Matchweek 32,Home,W 3–1,Real Madrid,Real Betis,Y,,90,0,,0,,,,1,0,,,,,,,0,,,Match Report
2013-04-14,Sun,La Liga,Matchweek 31,Away,W 3–0,Real Madrid,Athletic Club,Y,,78,2,,0,,,,0,0,,,,,,,0,,,Match Report
