Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2014-08-12,Tue,Super Cup,UEFA Super Cup,Neutral,W 2–0,es Real Madrid,es Sevilla,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-08-25,Mon,La Liga,Matchweek 1,Home,W 2–0,Real Madrid,Córdoba,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-09-13,Sat,La Liga,Matchweek 3,Home,L 1–2,Real Madrid,Atlético Madrid,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Match Report
2014-09-16,Tue,Champions Lg,Group stage,Home,W 5–1,es Real Madrid,ch Basel,Y,,90,1,1,0,0,,,0,0,,,,,,,0,,,Match Report
2014-09-20,Sat,La Liga,Matchweek 4,Away,W 8–2,Real Madrid,Dep. La Coruña,Y,,90,3,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-09-23,Tue,La Liga,Matchweek 5,Home,W 5–1,Real Madrid,Elche,Y,,90,4,0,2,2,,,0,0,,,,,,,0,,,Match Report
2014-09-27,Sat,La Liga,Matchweek 6,Away,W 2–0,Real Madrid,Villarreal,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-10-01,Wed,Champions Lg,Group stage,Away,W 2–1,es Real Madrid,bg Ludogorets,Y,,90,1,0,1,2,,,0,0,,,,,,,0,,,Match Report
2014-10-05,Sun,La Liga,Matchweek 7,Home,W 5–0,Real Madrid,Athletic Club,Y,,90,3,1,0,0,,,0,0,,,,,,,0,,,Match Report
2014-10-18,Sat,La Liga,Matchweek 8,Away,W 5–0,Real Madrid,Levante,Y,,90,2,0,1,1,,,0,0,,,,,,,0,,,Match Report
2014-10-22,Wed,Champions Lg,Group stage,Away,W 3–0,es Real Madrid,eng Liverpool,Y,,75,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-10-25,Sat,La Liga,Matchweek 9,Home,W 3–1,Real Madrid,Barcelona,Y,,90,1,0,1,1,,,1,0,,,,,,,0,,,Match Report
2014-11-01,Sat,La Liga,Matchweek 10,Away,W 4–0,Real Madrid,Granada,Y,,90,1,2,0,0,,,0,0,,,,,,,0,,,Match Report
2014-11-04,Tue,Champions Lg,Group stage,Home,W 1–0,es Real Madrid,eng Liverpool,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-11-08,Sat,La Liga,Matchweek 11,Home,W 5–1,Real Madrid,Rayo Vallecano,Y,,90,1,2,0,0,,,0,0,,,,,,,0,,,Match Report
2014-11-22,Sat,La Liga,Matchweek 12,Away,W 4–0,Real Madrid,Eibar,Y,,83,2,1,1,1,,,0,0,,,,,,,0,,,Match Report
2014-11-26,Wed,Champions Lg,Group stage,Away,W 1–0,es Real Madrid,ch Basel,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2014-11-29,Sat,La Liga,Matchweek 13,Away,W 2–1,Real Madrid,Málaga,Y,,90,0,2,0,0,,,0,0,,,,,,,0,,,Match Report
2014-12-06,Sat,La Liga,Matchweek 14,Home,W 3–0,Real Madrid,Celta Vigo,Y,,84,3,0,1,1,,,0,0,,,,,,,0,,,Match Report
2014-12-09,Tue,Champions Lg,Group stage,Home,W 4–0,es Real Madrid,bg Ludogorets,Y,,90,1,1,1,1,,,0,0,,,,,,,0,,,Match Report
2014-12-12,Fri,La Liga,Matchweek 15,Away,W 4–1,Real Madrid,Almería,Y,,90,2,0,0,0,,,1,0,,,,,,,0,,,Match Report
2015-01-04,Sun,La Liga,Matchweek 17,Away,L 1–2,Real Madrid,Valencia,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Match Report
2015-01-07,Wed,Copa del Rey,Round of 16,Away,L 0–2,Real Madrid,Atlético Madrid,N,,28,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-01-10,Sat,La Liga,Matchweek 18,Home,W 3–0,Real Madrid,Espanyol,Y,,90,0,1,0,0,,,1,0,,,,,,,0,,,Match Report
2015-01-15,Thu,Copa del Rey,Round of 16,Home,D 2–2,Real Madrid,Atlético Madrid,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-01-18,Sun,La Liga,Matchweek 19,Away,W 3–0,Real Madrid,Getafe,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-01-24,Sat,La Liga,Matchweek 20,Away,W 2–1,Real Madrid,Córdoba,Y,,81,0,0,0,0,,,0,1,,,,,,,0,,,Match Report
2015-02-07,Sat,La Liga,Matchweek 22,Away,L 0–4,Real Madrid,Atlético Madrid,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-02-14,Sat,La Liga,Matchweek 23,Home,W 2–0,Real Madrid,Dep. La Coruña,Y,,90,0,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-02-18,Wed,Champions Lg,Round of 16,Away,W 2–0,es Real Madrid,de Schalke 04,Y,,90,1,1,0,0,,,0,0,,,,,,,0,,,Match Report
2015-02-22,Sun,La Liga,Matchweek 24,Away,W 2–0,Real Madrid,Elche,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-03-01,Sun,La Liga,Matchweek 25,Home,D 1–1,Real Madrid,Villarreal,Y,,90,1,0,1,1,,,0,0,,,,,,,0,,,Match Report
2015-03-07,Sat,La Liga,Matchweek 26,Away,L 0–1,Real Madrid,Athletic Club,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2015-03-10,Tue,Champions Lg,Round of 16,Home,L 3–4,es Real Madrid,de Schalke 04,Y,,90,2,0,0,0,,,1,0,,,,,,,0,,,Match Report
